epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1342.37,1.0524,1.85074,1.41998,0.73473,0.60231,0.6704,0.41234,1.28707,1.90031,1.64882,0.000663043,0.000663043,0.000663043
2,2647.14,1.1103,1.27996,1.4567,0.66977,0.56436,0.61448,0.35487,1.58903,1.87599,1.93723,0.00119807,0.00119807,0.00119807
3,3920.19,1.12105,1.06022,1.45991,0.64515,0.65347,0.6793,0.43218,1.26328,1.49497,1.61709,0.00160109,0.00160109,0.00160109
4,5197.75,1.06006,0.9469,1.40438,0.75141,0.60853,0.69894,0.42944,1.43317,1.34967,1.70873,0.001406,0.001406,0.001406
5,6440.97,0.98603,0.8386,1.34816,0.7826,0.7366,0.80811,0.5704,1.07005,1.01333,1.39078,0.001208,0.001208,0.001208
6,7696.11,0.89851,0.72805,1.28436,0.88267,0.69802,0.81665,0.5947,1.06547,0.93895,1.37353,0.00101,0.00101,0.00101
7,8943.29,0.84619,0.69771,1.24414,0.84984,0.75743,0.83616,0.62123,0.99361,0.88829,1.34288,0.000812,0.000812,0.000812
8,10183.9,0.78918,0.6457,1.19902,0.92004,0.72937,0.85984,0.63944,0.92256,0.797,1.29113,0.000614,0.000614,0.000614
9,11447.8,0.73502,0.58524,1.16093,0.87972,0.7724,0.87772,0.66617,0.86461,0.77718,1.22259,0.000416,0.000416,0.000416
10,12703.4,0.69027,0.5478,1.12139,0.89487,0.77888,0.88287,0.68573,0.84539,0.72517,1.2436,0.000218,0.000218,0.000218
